species_id	marker_read_counts	median_marker_coverage	marker_coverage	marker_relative_abundance	unique_fraction_covered
102340	512	6.402778	6.337658	0.491157	1.000000
102454	562	5.831953	6.351520	0.492231	1.000000
101921	19	0.000000	0.214345	0.016611	0.214286
