Taxon,SRR8611586,SRR8611587,SRR8611588,SRR8611589,SRR8611590,SRR8611591,SRR8611592,SRR8611593,SRR8611594,SRR8611595,SRR8611596,SRR8611597,SRR8611598,SRR8611599,SRR8611600,SRR8611601,SRR8611602,SRR8611603,SRR8611604,SRR8611605,SRR8611606,SRR8611607,SRR8611608,SRR8611609,SRR8611610,SRR8611611,SRR8611612,SRR8611613,SRR8611614,SRR8611615,SRR8611616,SRR8611617,SRR8611618,SRR8611619,SRR8611620,SRR8611621,SRR8611622,SRR8611623,SRR8611624,SRR8611625,SRR8611626,SRR8611627,SRR8611628,SRR8611629,SRR8611630,SRR8611631,SRR8611632,SRR8611633,SRR8611634,SRR8611635,SRR8611636,SRR8611637,SRR8611638,SRR8611639,SRR8611640,SRR8611641,SRR8611642,SRR8611643,SRR8611644,SRR8611645,SRR8611646,SRR8611647,SRR8611648,SRR8611649,SRR8611650,SRR8611651,SRR8611652,SRR8611653,SRR8611654,SRR8611655,SRR8611656,SRR8611657
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__durum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002935779816513761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__kroppenstedtii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024180548092423426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017538090540392415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__stationis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005061582588155897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0024855888730234282,0.0,0.0,0.0,0.0,0.0,0.004970445996775927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013564431047475508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007124849282034419,0.001553548888241577,0.0,0.0,0.0,0.0,0.0,0.00033548603539377674,0.0011759172154280338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005066789497927222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__conglomeratum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005481120584652862,0.000590517968618188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Dermabacter; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033000577510106425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae; g__Dermacoccus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045674368619022035,0.0,0.0,0.0,0.0,0.0,0.0,0.001320023100404257,0.0,0.0035830254170865525,0.0013858497447118891,0.01755840241145441,0.005492380289316933,0.0,0.0,0.0,0.0,0.0,0.0,0.005699879425627535,0.0,0.0,0.0,0.0,0.0,0.0,0.001761301685817328,0.0,0.0,0.0,0.006491316809981453,0.03050488700740833,0.004445797807551766,0.0017715539058545638,0.001248600706105227,0.0012438363466749588,0.0,0.0007339449541284404,0.001764675351637515,0.0,0.0,0.0005350454788657035,0.0,0.0004884647178176899,0.0009051412020275163,0.006586694141889903,0.01627514202364502,0.0,0.0,0.0,0.0005544603252833908,0.00339169493079109,0.0,0.0,0.0,0.0018039687312086591,0.0,0.0,0.004708438971387179,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae; g__Dietzia; s__,0.0,0.002089533337554613,0.0,0.0,0.0,0.0,0.0006346184356655561,0.0,0.0,0.0,0.0,0.0,0.004433100483610962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024114544084400903,0.0023980815347721825,0.0,0.0,0.0,0.0,0.0,0.0,0.005261427162117725,0.004078065831634139,0.0,0.0,0.0,0.0,0.0,0.0,0.0023518344308560675,0.0,0.0,0.0024447816557073006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016608709191882494,0.0,0.0,0.001375831231368952,0.0,0.0006011873450063876,0.0010861694424330196,0.003937297615543126,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Gordoniaceae; g__Gordonia; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0014278914802475012,0.0,0.0,0.0,0.0,0.0,0.011015583019881783,0.0,0.0,0.0,0.0,0.0,0.0,0.001155020212853725,0.0,0.0,0.0,0.0016578749058025622,0.0008509321574998066,0.0,0.0,0.0,0.0,0.0,0.0,0.009974788994848185,0.0,0.0,0.0,0.0,0.0,0.000359048009848174,0.0,0.00041157102539981187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040731354091238234,0.0005519576096555785,0.008751727314601566,0.0,0.0,0.0,0.001355347461803844,0.001283344027866899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__Janibacter; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001733232856066315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007548435796359977,0.0,0.0,0.0,0.0,0.0,0.001705237515225335,0.0,0.0,0.0,0.0,0.0,0.0010899465407172887,0.0,0.0,0.0,0.0,0.0013150973172014729,0.0006335988414192614,0.0009935236973800411,0.014432673115307847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
